comunidad_label,entidad,n_registros
C0·esc3 (m=8.1),MERCADOLIBRE S.R.L.,378
C0·esc3 (m=8.1),BANCO DE GALICIA Y BUENOS AIRES S.A.,374
C0·esc3 (m=8.1),BANCO SANTANDER ARGENTINA S.A.,253
C0·esc3 (m=8.1),BANCO DE LA PROVINCIA DE BUENOS AIRES,243
C0·esc3 (m=8.1),BANCO BBVA ARGENTINA S.A.,165
C1·esc2 (m=7.3),MERCADOLIBRE S.R.L.,273
C1·esc2 (m=7.3),BANCO SANTANDER ARGENTINA S.A.,226
C1·esc2 (m=7.3),BANCO DE LA NACION ARGENTINA,136
C1·esc2 (m=7.3),BANCO BBVA ARGENTINA S.A.,86
C1·esc2 (m=7.3),AMERICAN EXPRESS ARGENTINA S.A.,86
C2·esc4 (m=10.7),MERCADOLIBRE S.R.L.,2280
C2·esc4 (m=10.7),BANCO DE GALICIA Y BUENOS AIRES S.A.,1571
C2·esc4 (m=10.7),TARJETA NARANJA S.A.U.,1464
C2·esc4 (m=10.7),BANCO BBVA ARGENTINA S.A.,1232
C2·esc4 (m=10.7),BANCO SANTANDER ARGENTINA S.A.,1052
C3·esc1 (m=5.6),MERCADOLIBRE S.R.L.,320
C3·esc1 (m=5.6),BANCO DE LA NACION ARGENTINA,73
C3·esc1 (m=5.6),BANCO MACRO S.A.,71
C3·esc1 (m=5.6),BANCO DE LA PROVINCIA DE BUENOS AIRES,62
C3·esc1 (m=5.6),BANCO BBVA ARGENTINA S.A.,55
