comunidad_label,entidad,n_registros,n_mora,tasa_mora_pct
C0·esc3 (m=8.1),TARJETA NARANJA S.A.U.,81,31,38.3
C0·esc3 (m=8.1),INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.,46,4,8.7
C0·esc3 (m=8.1),AMERICAN EXPRESS ARGENTINA S.A.,97,3,3.1
C0·esc3 (m=8.1),BANCO SANTANDER ARGENTINA S.A.,191,6,3.1
C0·esc3 (m=8.1),MERCADOLIBRE S.R.L.,166,5,3.0
C1·esc2 (m=7.3),COMPAÑIA FINANCIERA ARGENTINA S.A.,24,24,100.0
C1·esc2 (m=7.3),FONDO DE GARANTÍAS ARGENTINO,48,48,100.0
C1·esc2 (m=7.3),BANCO DE LA NACION ARGENTINA,71,14,19.7
C1·esc2 (m=7.3),BANCO PATAGONIA S.A.,29,2,6.9
C1·esc2 (m=7.3),BANCO DE LA PROVINCIA DE BUENOS AIRES,63,4,6.3
C2·esc4 (m=10.7),Cierto Argentina S.A.,24,24,100.0
C2·esc4 (m=10.7),FIDEICOMISO PRIVADO DE ADMINISTRACION CENFIDE,20,20,100.0
C2·esc4 (m=10.7),FONDO DE GARANTÍAS ARGENTINO,48,48,100.0
C2·esc4 (m=10.7),MINS LFE SAS,20,16,80.0
C2·esc4 (m=10.7),CREDICUOTAS CONSUMO S.A.,26,16,61.5
C3·esc1 (m=5.6),MERCADOLIBRE S.R.L.,102,20,19.6
C3·esc1 (m=5.6),BANCO MACRO S.A.,30,3,10.0
C3·esc1 (m=5.6),BANCO DE LA NACION ARGENTINA,31,3,9.7
C3·esc1 (m=5.6),BANCO BBVA ARGENTINA S.A.,32,1,3.1
C3·esc1 (m=5.6),BANCO DE LA CIUDAD DE BUENOS AIRES,35,1,2.9
